HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.first_name,Input.last_name,Input.url,Answer.issue1,Answer.issue10,Answer.issue11,Answer.issue12,Answer.issue13,Answer.issue14,Answer.issue15,Answer.issue16,Answer.issue17,Answer.issue18,Answer.issue19,Answer.issue2,Answer.issue20,Answer.issue21,Answer.issue22,Answer.issue23,Answer.issue24,Answer.issue25,Answer.issue3,Answer.issue4,Answer.issue5,Answer.issue6,Answer.issue7,Answer.issue8,Answer.issue9,Answer.issue_stance_listed,Approve,Reject
3MDKGGG61QX78BL8Q9YXBA1ZSGN6TQ,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,39N5ACM9HFXZLMSSX1XRFUMNFUH9PW,AYFD78FXIRIZS,Approved,Sat Jan 09 18:55:28 PST 2016,Sat Jan 09 18:57:29 PST 2016,Mon Jan 11 02:57:29 PST 2016,Sun Jan 10 07:15:26 PST 2016,,,121,100% (51/51),100% (51/51),100% (40/40),Mark,Kirk,kirkforsenate.com/,https://kirkforsenate.com/meet-mark-kirk/,{},{},{},{},{},{},{},{},{},{},https://kirkforsenate.com/priority/keep-family-farms-small-businesses-in-the-family/,{},{},{},{},{},{},https://kirkforsenate.com/priority/keep-our-great-lakes-clean/,https://kirkforsenate.com/priority/boosting-scott-air-force-base/,https://kirkforsenate.com/priority/supporting-our-veterans/,https://kirkforsenate.com/priority/fixing-fema/,https://kirkforsenate.com/priority/supporting-local-jobs/,{},{},,,
3MDKGGG61QX78BL8Q9YXBA1ZSGN6TQ,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3QRYMNZ7FZRI2GPTFSPG25I49MANT5,A2FTL6QSZRREQG,Approved,Sun Jan 10 13:29:53 PST 2016,Sun Jan 10 13:31:37 PST 2016,Mon Jan 11 21:31:37 PST 2016,Sun Jan 10 18:37:56 PST 2016,,,104,100% (2/2),100% (2/2),100% (2/2),Mark,Kirk,kirkforsenate.com/,https://kirkforsenate.com/priority/keep-family-farms-small-businesses-in-the-family/,{},{},{},{},{},{},{},{},{},{},https://kirkforsenate.com/priority/keep-our-great-lakes-clean/,{},{},{},{},{},{},https://kirkforsenate.com/priority/boosting-scott-air-force-base/,https://kirkforsenate.com/priority/supporting-our-veterans/,https://kirkforsenate.com/priority/fixing-fema/,https://kirkforsenate.com/priority/supporting-local-jobs/,{},{},{},Yes,,
3MDKGGG61QX78BL8Q9YXBA1ZSGN6TQ,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3SNLUL3WO5X7ET1X3KZBU90HN5QLU1,A3NH3VJF04DBJX,Approved,Sat Jan 09 18:20:13 PST 2016,Sat Jan 09 18:22:17 PST 2016,Mon Jan 11 02:22:17 PST 2016,Sun Jan 10 07:15:26 PST 2016,,,124,100% (27/27),100% (27/27),100% (18/18),Mark,Kirk,kirkforsenate.com/,https://kirkforsenate.com/priorities/,{},{},{},{},{},{},{},{},{},{},https://kirkforsenate.com/regions/chicagoland/,{},{},{},{},{},{},https://kirkforsenate.com/regions/northern/,https://kirkforsenate.com/regions/western/,https://kirkforsenate.com/regions/central/,https://kirkforsenate.com/regions/southern/,{},{},{},,,
3JY0Q5X05JG50ZO8IM8COIZZW0JGGU,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3570Y55XZQT89A712UZKK21MNCFGYO,A3NH3VJF04DBJX,Approved,Sat Jan 09 18:25:29 PST 2016,Sat Jan 09 18:26:26 PST 2016,Mon Jan 11 02:26:26 PST 2016,Sun Jan 10 07:15:26 PST 2016,,,57,100% (27/27),100% (27/27),100% (18/18),James,Marter,www.marter4senate.us/sub/,http://www.marter4senate.us/sub/index.php/issues,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},Yes,,
3JY0Q5X05JG50ZO8IM8COIZZW0JGGU,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3FE7TXL1LJX9LE88C5X15C4JEKM2QH,AOTSBJGYMR4N8,Approved,Sun Jan 10 13:45:38 PST 2016,Sun Jan 10 13:46:16 PST 2016,Mon Jan 11 21:46:16 PST 2016,Sun Jan 10 18:37:56 PST 2016,,,38,100% (8/8),100% (8/8),100% (8/8),James,Marter,www.marter4senate.us/sub/,http://www.marter4senate.us/sub/index.php/issues,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},Yes,,
3JY0Q5X05JG50ZO8IM8COIZZW0JGGU,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3VNXK88KKDSCQ6POJD6QLMB51IIV93,AYFD78FXIRIZS,Approved,Sat Jan 09 18:54:28 PST 2016,Sat Jan 09 18:55:27 PST 2016,Mon Jan 11 02:55:27 PST 2016,Sun Jan 10 07:15:26 PST 2016,,,59,100% (51/51),100% (51/51),100% (40/40),James,Marter,www.marter4senate.us/sub/,http://www.marter4senate.us/sub/index.php/issues,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},Yes,,
3FDWKV9VCNCOXRLPDUVO52KN1U9MU7,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,339ANSOTR6CRLWOFO3YWW6ZR4AXIKM,A3NH3VJF04DBJX,Approved,Sat Jan 09 18:16:42 PST 2016,Sat Jan 09 18:17:37 PST 2016,Mon Jan 11 02:17:37 PST 2016,Sun Jan 10 07:15:25 PST 2016,,,55,100% (27/27),100% (27/27),100% (18/18),Liz,Pahlke,www.linkedin.com/in/liz-pahlke-5a071ba,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},No,,
3FDWKV9VCNCOXRLPDUVO52KN1U9MU7,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,37QW5D2ZRHWWK9PAKQV7A3WNI86S86,AYFD78FXIRIZS,Approved,Sat Jan 09 18:47:12 PST 2016,Sat Jan 09 18:47:51 PST 2016,Mon Jan 11 02:47:51 PST 2016,Sun Jan 10 07:15:25 PST 2016,,,39,100% (51/51),100% (51/51),100% (40/40),Liz,Pahlke,www.linkedin.com/in/liz-pahlke-5a071ba,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},No,,
3FDWKV9VCNCOXRLPDUVO52KN1U9MU7,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,3ITXP059PXTL4QLTBUSYZT51YJSJS9,AOTSBJGYMR4N8,Approved,Sun Jan 10 13:40:41 PST 2016,Sun Jan 10 13:40:55 PST 2016,Mon Jan 11 21:40:55 PST 2016,Sun Jan 10 18:37:56 PST 2016,,,14,100% (8/8),100% (8/8),100% (8/8),Liz,Pahlke,www.linkedin.com/in/liz-pahlke-5a071ba,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},No,,
306W7JMRYY8UG3AFJ24AVUR4S4E8BP,3C3LDH5JOKUJ40WHBX563ICDQFRFMJ,Political Candidate Issue Stance,"Given a political candidate's name and website, find the specific pages that contain issue stances","data collection, election 2016, politics, candiates, Illinois",$0.01 ,Sat Jan 09 17:54:31 PST 2016,3,BatchId:2224085;,900,115200,Sat Jan 16 17:54:31 PST 2016,,,36ZN444YTS8ABN9UMVQP3NG0OF7IO6,A3NH3VJF04DBJX,Approved,Sat Jan 09 18:19:28 PST 2016,Sat Jan 09 18:20:09 PST 2016,Mon Jan 11 02:20:09 PST 2016,Sun Jan 10 07:15:25 PST 2016,,,41,100% (27/27),100% (27/27),100% (18/18),Tammy,Duckworth,tammyduckworth.com/,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},No,,
